listing_path,location,unit_number,beds,size,rent,sun_exposure_cat,sun_exposure,floor
l-skpvkqbbue9j,11205,1L,1,,4000,Moderate sunlight,This apartment has moderate sunlight and the rent is 4000,1
l-jm1qrmj40hlg,11205,3A,1,,3195,No sunlight data,No sunlight data available and the rent is 3195,3
l-1ivun56qi299,11205,PHE,1,,5585,No sunlight data,No sunlight data available and the rent is 5585,
l-srbn5ucmgbc0,11205,14F,1,,3683,No sunlight data,No sunlight data available and the rent is 3683,1
l-5mt2g1dct183,11205,14K,1,,3697,No sunlight data,No sunlight data available and the rent is 3697,1
l-vkhdtnq6trpi,11205,16A,1,,3688,No sunlight data,No sunlight data available and the rent is 3688,1
m-bnkfi8dmj45k,11238,1F,0,9999.0,2100,No sunlight data,No sunlight data available and the rent is 2100,1
m-qddqkcgm4vu0,11238,2E,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,2
m-2jnojj5ivupc,11238,3F,1,9999.0,3000,No sunlight data,No sunlight data available and the rent is 3000,3
m-ioml7upjj0nf,11238,1F,0,9999.0,2100,No sunlight data,No sunlight data available and the rent is 2100,1
m-1a68bqniv8f5,11238,5E,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,5
m-52krgvmtanfq,11238,2F,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,2
m-3h2b7f9f864,11238,2G,1,9999.0,2950,No sunlight data,No sunlight data available and the rent is 2950,2
m-mllprmn7u2q,11238,4B,0,9999.0,2100,No sunlight data,No sunlight data available and the rent is 2100,4
m-175u8hpq13uk,11238,3E,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,3
m-i7753l1falmj,11238,5D,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,5
m-39adoidr9t7j,11238,2F,1,9999.0,2950,No sunlight data,No sunlight data available and the rent is 2950,2
m-qako0aep671j,11238,2J,1,9999.0,2950,No sunlight data,No sunlight data available and the rent is 2950,2
m-fhjftpbgko0c,11238,1F,0,9999.0,2291,No sunlight data,No sunlight data available and the rent is 2291,1
m-lkaovhe3vi2k,11238,5E,1,9999.0,2836,No sunlight data,No sunlight data available and the rent is 2836,5
m-6jj3p09j1oaa,11238,3K,1,9999.0,3273,No sunlight data,No sunlight data available and the rent is 3273,3
m-e9oadqrasp4k,11238,2E,1,9999.0,2945,No sunlight data,No sunlight data available and the rent is 2945,2
m-4g38orid0ttu,11238,1D,1,9999.0,3491,No sunlight data,No sunlight data available and the rent is 3491,1
m-4g38orid0ttu,11238,1D,1,9999.0,3491,No sunlight data,No sunlight data available and the rent is 3491,1
m-8ac4uoe1n8ec,11238,5G,1,9999.0,3600,No sunlight data,No sunlight data available and the rent is 3600,5
l-af04hjn8ih6a,11238,401,1,,4500,Moderate sunlight,This apartment has moderate sunlight and the rent is 4500,4
l-e23oh50jf3js,11238,2A,1,575.0,2500,Limited natural light,This apartment has limited sunlight and the rent is 2500,2
l-q69hi8o4fh1u,11238,2,1,,2700,No sunlight data,No sunlight data available and the rent is 2700,2
l-o3ke9d887v04,11205,214,0,,3108,No sunlight data,No sunlight data available and the rent is 3108,2
m-dlb79be872u9,11205,6B,1,9999.0,2500,No sunlight data,No sunlight data available and the rent is 2500,6
l-5sr3mraftvdo,11238,1C,1,1196.0,5595,Limited natural light,This apartment has limited sunlight and the rent is 5595,1
l-9417psnrdkqb,11238,4B,1,665.0,3600,No sunlight data,No sunlight data available and the rent is 3600,4
m-oc27u40tqu3k,11238,5E,1,0.0,2350,Limited natural light,Limited natural light and the rent is 2350,5
m-6aoa0jitd5d7,11238,3C,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,3
l-ue6jib37qqnf,11238,4,1,,3500,No sunlight data,No sunlight data available and the rent is 3500,4
l-94a2gjl0u1g1,11216,7A,1,,3050,No sunlight data,No sunlight data available and the rent is 3050,7
l-88virisvsmsi,11216,7,1,,3100,No sunlight data,No sunlight data available and the rent is 3100,7
m-ha3scum2sgo1,11216,4C,1,0.0,3300,Moderate sunlight,Moderate natural light and the rent is 3300,4
m-3nne3j20j5cb,11205,5A,1,0.0,2400,No sunlight data,No sunlight data available and the rent is 2400,5
m-aopat6l3s9ej,11205,A5,1,0.0,2350,No sunlight data,No sunlight data available and the rent is 2350,5
m-59oq08252jg8,11205,4A,1,0.0,2200,No sunlight data,No sunlight data available and the rent is 2200,4
l-jmve9n9ak98q,11205,4C,1,,3075,No sunlight data,No sunlight data available and the rent is 3075,4
l-eocm9b7e0ci1,11216,,0,,2500,No sunlight data,No sunlight data available and the rent is 2500,
m-gt9li0q09upv,11216,9U,1,413.0,3138,No sunlight data,No sunlight data available and the rent is 3138,9
m-440k5u8m85op,11216,9G,1,400.0,2920,No sunlight data,No sunlight data available and the rent is 2920,9
m-i7lj3vg57hhp,11216,10M,0,450.0,2730,No sunlight data,No sunlight data available and the rent is 2730,1
l-g8kqq3bhsigp,11216,2F,1,,2400,No sunlight data,No sunlight data available and the rent is 2400,2
l-lf4rbiapfuqo,11210,PH1,1,,2800,No sunlight data,No sunlight data available and the rent is 2800,1
l-mfg3np6mqcgh,11229,3A,1,,1919,No sunlight data,No sunlight data available and the rent is 1919,3
m-6647ng7l2sgm,11205,3B,1,0.0,2590,Limited natural light,Limited natural light and the rent is 2590,3
m-8rdcg1kqnjh8,11205,3R,1,0.0,2590,Limited natural light,Limited natural light and the rent is 2590,3
m-k53u06j4180,11205,1,1,9999.0,1950,Limited natural light,This apartment has limited sunlight and the rent is 1950,1
m-herq8clovjk4,11216,5,1,9999.0,1950,No sunlight data,No sunlight data available and the rent is 1950,5
m-qedem2h2qs8t,11216,9,1,9999.0,1700,Limited natural light,Limited natural light and the rent is 1700,9
m-j80igb3rniuk,11216,4,1,9999.0,1900,No sunlight data,No sunlight data available and the rent is 1900,4
m-4sbq6mdg0dml,11216,407,1,9999.0,3200,No sunlight data,No sunlight data available and the rent is 3200,4
m-fhhsdl6rdr3b,11216,503,0,9999.0,2850,No sunlight data,No sunlight data available and the rent is 2850,5
m-f918uuvp2nuc,11216,406,1,9999.0,2800,No sunlight data,No sunlight data available and the rent is 2800,4
m-c4it0pjromg,11216,307,1,9999.0,3200,No sunlight data,No sunlight data available and the rent is 3200,3
m-msf6rb8peb05,11216,404,0,9999.0,2830,No sunlight data,No sunlight data available and the rent is 2830,4
m-cidleafi7fv7,11216,209,1,9999.0,2830,No sunlight data,No sunlight data available and the rent is 2830,2
l-b65oi9p4kfn6,11216,3F,1,,2800,No sunlight data,No sunlight data available and the rent is 2800,3
l-a8m7jtmn1l8g,11210,4C,1,,2800,No sunlight data,No sunlight data available and the rent is 2800,4
m-ngt4ph8udkmq,11216,4F,1,0.0,2125,Moderate sunlight,Moderate natural light and the rent is 2125,4
m-jmtr0spu4jut,11206,1,1,750.0,2000,Limited natural light,Limited natural light and the rent is 2000,1
m-dvmglep3gq88,11216,D8,1,9999.0,2750,No sunlight data,No sunlight data available and the rent is 2750,8
l-4m0q83824jh4,11216,3,1,,4050,No sunlight data,No sunlight data available and the rent is 4050,3
l-3ruktjkghna8,11216,3R,1,,2250,No sunlight data,No sunlight data available and the rent is 2250,3
m-84sipv8lrh8v,11216,509,0,300.0,1650,Moderate sunlight,Moderate natural light and the rent is 1650,5
m-qmam6gq4qni9,11206,2B,1,0.0,2250,No sunlight data,No sunlight data available and the rent is 2250,2
l-qp91auide8ca,11206,1,1,,3200,Limited natural light,This apartment has limited sunlight and the rent is 3200,1
l-8eu4lc6s5t8o,11216,1F,1,,2800,No sunlight data,No sunlight data available and the rent is 2800,1
m-jag808dc459v,11206,7A,1,0.0,2149,Limited natural light,Limited natural light and the rent is 2149,7
l-9f5kcehflfmu,11216,2A,1,600.0,2700,No sunlight data,No sunlight data available and the rent is 2700,2
l-pngptb07ovrd,11216,3,1,700.0,2900,Limited natural light,This apartment has limited sunlight and the rent is 2900,3
m-vpduu8qvbhim,11216,5,1,0.0,2050,Limited natural light,Limited natural light and the rent is 2050,5
m-ts3f6uqiskp3,11206,4a,1,1000.0,2300,No sunlight data,No sunlight data available and the rent is 2300,4
m-19loqn2udrop,11216,2,1,0.0,2825,Moderate sunlight,Moderate natural light and the rent is 2825,2
m-7l0sn2vijjtq,11216,2A,1,0.0,2790,Limited natural light,Limited natural light and the rent is 2790,2
l-a3m6i3kr44j6,11206,4B,1,,2800,No sunlight data,No sunlight data available and the rent is 2800,4
l-p6sepvkpkl3e,11216,4,1,800.0,3400,Limited natural light,This apartment has limited sunlight and the rent is 3400,4
m-n6hdierg196s,11206,3A,1,9999.0,2625,No sunlight data,No sunlight data available and the rent is 2625,3
m-tgv98j1easj5,11206,3A,1,9999.0,2625,No sunlight data,No sunlight data available and the rent is 2625,3
m-5dpr3rp5de9l,11206,3A,1,9999.0,2625,No sunlight data,No sunlight data available and the rent is 2625,3
m-c37itnq8l7r3,11221,3R,1,800.0,2550,No sunlight data,No sunlight data available and the rent is 2550,3
m-cppnnes2qq7u,11216,2,1,550.0,2050,Bright & sun drenched,Bright & sun drenched and the rent is 2050,2
l-aaum7dk0s54s,11216,1R,1,,4750,No sunlight data,No sunlight data available and the rent is 4750,1
m-mosqba1euac8,11216,6f,1,1000.0,2994,No sunlight data,No sunlight data available and the rent is 2994,6
m-j1imhv5kuv4m,11216,6f,1,1000.0,2994,No sunlight data,No sunlight data available and the rent is 2994,6
l-o4a7mm1t56a2,11206,2C,1,,2450,Limited natural light,This apartment has limited sunlight and the rent is 2450,2
m-qu0h333unbdg,11206,1A,1,9999.0,2600,No sunlight data,No sunlight data available and the rent is 2600,1
l-nrca98729k7u,11206,1F,1,,2795,No sunlight data,No sunlight data available and the rent is 2795,1
l-614av50ij5cb,11221,1,0,,2250,No sunlight data,No sunlight data available and the rent is 2250,1
l-m1cdv0oquami,11221,,1,3236.0,2500,No sunlight data,No sunlight data available and the rent is 2500,
l-ico56tofpl8q,11216,2,1,650.0,2400,No sunlight data,No sunlight data available and the rent is 2400,2
l-dtlgbj17f16j,11210,1,0,,900,No sunlight data,No sunlight data available and the rent is 900,1
m-qhhbu9fogn0e,11206,6D,1,9999.0,2450,No sunlight data,No sunlight data available and the rent is 2450,6
m-s2cdf4ftst12,11206,6D,1,9999.0,2450,No sunlight data,No sunlight data available and the rent is 2450,6
m-as7sdoe4223s,11206,1F,1,9999.0,1995,Limited natural light,This apartment has limited sunlight and the rent is 1995,1
m-du28k1ukeoap,11206,1F,1,9999.0,1995,Limited natural light,This apartment has limited sunlight and the rent is 1995,1
l-1cumekhger73,11216,3,1,,3395,No sunlight data,No sunlight data available and the rent is 3395,3
l-tdbjur5f7qck,11216,2,1,,3000,No sunlight data,No sunlight data available and the rent is 3000,2
l-cb6cmjqnsonf,11221,3,1,,2550,No sunlight data,No sunlight data available and the rent is 2550,3
l-lhg6ms9181qh,11216,2,1,,2850,No sunlight data,No sunlight data available and the rent is 2850,2
m-1idrg5n5km56,11216,https://no,1,9999.0,1995,No sunlight data,No sunlight data available and the rent is 1995,
m-qm4i8p3aakoa,11213,3A,1,0.0,2200,No sunlight data,No sunlight data available and the rent is 2200,3
m-5j7i6taerbmm,11221,3A,1,0.0,2000,Limited natural light,Limited natural light and the rent is 2000,3
l-fm746g5qjbog,11221,1F,1,,2795,No sunlight data,No sunlight data available and the rent is 2795,1
m-v83838enkoi8,11221,2F,1,0.0,2017,Limited natural light,Limited natural light and the rent is 2017,2
l-pj7cvotqbson,11221,3,1,,3000,Moderate sunlight,This apartment has moderate sunlight and the rent is 3000,3
l-elpemnn4kfbg,11221,4,1,,3200,No sunlight data,No sunlight data available and the rent is 3200,4
l-cvvnmpnf1hmf,11233,GARDEN,1,,2450,No sunlight data,No sunlight data available and the rent is 2450,
l-706qhfcstnd2,11233,1,1,,2650,Limited natural light,This apartment has limited sunlight and the rent is 2650,1
m-105edfbi2h3k,11221,2B,0,0.0,2150,Moderate sunlight,Moderate natural light and the rent is 2150,2
m-eisl0jc823kj,11221,1B,1,0.0,2200,No sunlight data,No sunlight data available and the rent is 2200,1
l-aeasnlvah2gl,11221,1,0,,4900,No sunlight data,No sunlight data available and the rent is 4900,1
m-re8s2nn1ebt,11233,Unit 2D,1,750.0,1900,Moderate sunlight,Moderate natural light and the rent is 1900,2
m-6ilr6o8obk3c,11233,204,1,9999.0,2899,Limited natural light,This apartment has limited sunlight and the rent is 2899,2
m-t8p0q78tlp5k,11221,A2,0,0.0,3449,Bright & sun drenched,Bright & sun drenched and the rent is 3449,2
m-a3poj9qc2mh8,11221,3F,1,9999.0,2250,Limited natural light,This apartment has limited sunlight and the rent is 2250,3
l-40dte2cunttt,11221,3R,1,,2400,No sunlight data,No sunlight data available and the rent is 2400,3
l-sk18vv1pjmct,11221,2,1,,2700,No sunlight data,No sunlight data available and the rent is 2700,2
m-9en3gqdfipkt,11221,6B,1,0.0,2292,No sunlight data,No sunlight data available and the rent is 2292,6
